Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"450 Via De La Vis,","Inverness, CA 94937","$1,295,000",3,2,"1,800",1.02 Acres,Single Family,$719,1986,Neighborhood: 94937,81 days,"5,092",83
"47 Inverness Way,","Inverness, CA 94937","$1,300,000",2,2,"1,602","5,662 sqft",Single Family,$811,1920,Neighborhood: 94937,8 days,"2,557",98
"44 Sylvan Way,","Woodacre, CA 94973","$99,000",0.45 Acres,,0.45 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94973,130 days,724,15
"350 Montezuma Rd,","Forest Knolls, CA 94933","$848,695",2,2,"1,222",0 spaces,Single Family,0.29 Acres,1924,Neighborhood: 94933,159 days,"1,247",9
"640 Bolinas Rd,","Fairfax, CA 94930","$264,900",0.85 Acres,,0.85 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,1327 days,522,9
"200 Toyon Dr,","Fairfax, CA 94930","$699,000",10.5 Acres,,10.5 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,621 days,432,8
"1 Herrera Dr,","Fairfax, CA 94930","$436,024",1,1,750,Carport,Condo,$435/mo,1974,Neighborhood: 94930,292 days,501,5
"0 Pine Dr,","Fairfax, CA 94930","$120,000",0.25 Acres,,0.25 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,169 days,691,14
"60 Piper Ln,","Fairfax, CA 94930","$949,000",3,3,"1,832","5,662 sqft",Single Family,$518,1964,Neighborhood: 94930,127 days,"2,553",26
"155 Olema Rd,","Fairfax, CA 94930","$938,168",3,2,"1,210",Garage,Single Family,"10,500 sqft",1978,Neighborhood: 94930,117 days,908,10
"40 Manzanita Rd,","Fairfax, CA 94930","$1,279,885",4,2,"2,126","Garage, Garage - Attached, Covered",Single Family,0.57 Acres,1941,Neighborhood: 94930,87 days,"1,065",6
"555 Iron Springs Rd,","Fairfax, CA 94930","$4,500,000",6,6,"6,036",20 Acres,Single Family,$746,1978,Neighborhood: 94930,80 days,"2,181",64
"2 Mora Ave,","Fairfax, CA 94930","$2,995,000",4,4,"3,851",0.39 Acres,Single Family,$778,2014,Neighborhood: 94930,43 days,"2,649",69
"1607 Sir Francis Drake Blvd,","Fairfax, CA 94930","$1,375,000",4,4,"2,781",0 spaces,Multiple Occupancy,$494,1930,Neighborhood: 94930,38 days,"1,264",19
"26 Deuce Ct,","Fairfax, CA 94930","$680,000",2,3,"1,168","3,049 sqft",Single Family,$582,1974,Neighborhood: 94930,35 days,"6,429",59
"482 Scenic Rd,","Fairfax, CA 94930","$1,149,000",4,2,"1,680","5,662 sqft",Single Family,$684,1961,Neighborhood: 94930,33 days,"3,504",135
"202 Hillside Dr,","Fairfax, CA 94930","$109,000",0.348 Acres,,0.348 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,28 days,"1,111",14
"18 Redwood Rd,","Fairfax, CA 94930","$889,000",2,2,"1,293",Garage,Multiple Occupancy,$688,1913,Neighborhood: 94930,22 days,"5,085",247
"0 Valley Rd,","Fairfax, CA 94930","$199,000",1.27 Acres,,1.27 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,11 days,713,38
"460 Bolinas Rd,","Fairfax, CA 94930","$190,000",0.82 Acres,,0.82 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94930,2 days,196,7
"4600 Valley Ford-franklin School Rd,","Petaluma, CA 94953","$2,500,000",5,3,"3,000",47.40 Acres,Single Family,$833,No Data,Neighborhood: 94953,873 days,"2,399",28
"21060 Pelican Loop,","Bodega Bay, CA 94923","$850,000","6,969 Square Feet",,"6,969 Square Feet",0 spaces,Vacant Land,$274/mo,No Data,Neighborhood: 94923,32 days,863,9
"7 Tahiti Way,","Dillon Beach, CA 94929","$1,795,000",4,2,"1,600","8,276 sqft",Single Family,"$1,122",1968,Neighborhood: 94929,25 days,"5,226",115
"34 Ocean View Ave,","Dillon Beach, CA 94929","$995,000",2,3,"1,458","2,178 sqft",Single Family,$682,1962,Neighborhood: 94929,17 days,"4,148",70
"142 Mariner Green Ct,","Corte Madera, CA 94925","$945,000",3,3,"1,508",$638/mo,Condo,$627,1966,Neighborhood: 94925,94 days,"1,754",35
"107 Pixley Ave,","Corte Madera, CA 94925","$659,000",2,2,"1,023",$626/mo,Condo,$644,1962,Neighborhood: 94925,57 days,"2,897",57
"66 Lucky Dr,","Corte Madera, CA 94925","$972,000",2,3,"1,326",$600/mo,Condo,$733,1973,Neighborhood: 94925,56 days,"1,589",40
"117 Sandpiper Cir,","Corte Madera, CA 94925","$1,600,000",3,2,"2,097","2,090 sqft",Single Family,$763,1983,Neighborhood: 94925,55 days,"3,632",65
"50 Sandpiper Cir,","Corte Madera, CA 94925","$988,000",2,3,"1,725",$523/mo,Condo,$573,1981,Neighborhood: 94925,38 days,887,20
"11 Harbor Dr,","Corte Madera, CA 94925","$1,599,000",4,3,"1,677","6,098 sqft",Single Family,$953,2020,Neighborhood: 94925,33 days,"2,919",67
"6 Wildflower Ct,","Corte Madera, CA 94925","$1,575,000",3,3,"1,998","4,791 sqft",Single Family,$788,1999,Neighborhood: 94925,25 days,"3,566",87
"50 Laurel Dr,","Corte Madera, CA 94925","$1,025,000",2,2.5,"1,525",$430/mo,Condo,$672,1985,Neighborhood: 94925,22 days,"1,749",25
"30 Crescent Rd,","Corte Madera, CA 94925","$2,995,000",4,3,"3,061","5,662 sqft",Single Family,$978,2013,Neighborhood: 94925,11 days,"2,461",109
"340 San Geronimo Valley Dr,","Woodacre, CA 94973","$1,325,000",3,2,"2,500",0.96 Acres,Single Family,$530,1982,Neighborhood: 94973,108 days,--,--
"37 Conifer Way,","Woodacre, CA 94973","$227,000",0.41 Acres,,0.41 Acres,0 spaces,Vacant Land,$13,No Data,Neighborhood: 94973,101 days,466,12
"475 Sylvestris Dr,","San Geronimo, CA 94963","$1,099,000",3,2,"1,492",0.25 Acres,Single Family,$737,1961,Neighborhood: 94963,71 days,"1,342",63
"7130 Sir Francis Drake Blvd,","Lagunitas, CA 94938","$804,000",2,1,"1,257",0.48 Acres,Single Family,$640,1952,Neighborhood: 94938,39 days,"2,336",28
"1 Meadow View Ln,","Woodacre, CA 94973","$335,000",1.17 Acres,,1.17 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94973,15 days,215,7
"5 Meadow View Ln,","Woodacre, CA 94973","$275,000",1.56 Acres,,1.56 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94973,15 days,380,16
"0 Redwood Dr,","Woodacre, CA 94973","$90,000",0.38 Acres,,0.38 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94973,10 days,448,31
"0 Alder Rd,","Bolinas, CA 94924","$29,000","3,497 Square Feet",,"3,497 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94924,136 days,"6,063",100
,"Bolinas, CA 94924","$9,800,000",3,5,"2,880",7.70 Acres,Single Family,"$3,403",2010,Neighborhood: 94924,71 days,"2,557",42
"5 Terrace Ave,","Bolinas, CA 94924","$2,495,000",4,3,"1,414","6,969 sqft",Single Family,"$1,764",1915,Neighborhood: 94924,56 days,"7,031",116
"9 Andrew Dr APT 44,","Tiburon, CA 94920","$675,000",1,1,672,$461/mo,Condo,"$1,004",No Data,Neighborhood: 94920,136 days,"1,886",12
"189 Gilmartin Dr,","Belvedere Tiburon, CA 94920","$8,595,000",5,7,"7,693",0.93 Acres,Single Family,"$1,117",2006,Neighborhood: 94920,129 days,"1,712",19
"185 Gilmartin Dr,","Tiburon, CA 94920","$17,800,000",7,11,"13,836",1.38 Acres,Single Family,"$1,286",1999,Neighborhood: 94920,129 days,"4,496",57
"29 Eucalyptus Rd,","Belvedere Tiburon, CA 94920","$4,195,000",4,5,"3,303","7,840 sqft",Single Family,"$1,270",1962,Neighborhood: 94920,128 days,"1,751",19
"41 Belvedere Ave LOT 43,","Belvedere Tiburon, CA 94920","$27,500,000",6,7,"7,172",0.61 Acres,Single Family,"$3,834",2015,Neighborhood: 94920,120 days,"10,192",405
"1410 Vistazo St W APT 6,","Tiburon, CA 94920","$1,245,000",2,2,"1,044",$700/mo,Condo,"$1,193",1963,Neighborhood: 94920,115 days,"1,943",53
"330 Bella Vista Ave,","Belvedere, CA 94920","$4,477,000",3,3,"3,830","5,662 sqft",Single Family,"$1,169",1958,Neighborhood: 94920,114 days,"1,495",24
"21 Tanfield Rd,","Tiburon, CA 94920","$3,700,000",5,4,"2,684",2.00 Acres,Single Family,"$1,379",1959,Neighborhood: 94920,95 days,"1,076",11
"102 Saint Thomas Way,","Belvedere Tiburon, CA 94920","$1,993,000",3,2,"1,947","10,018 sqft",Single Family,"$1,024",1972,Neighborhood: 94920,94 days,"2,669",53
"51 W Shore Rd,","Belvedere Tiburon, CA 94920","$6,300,000",3,3,"2,279",0.27 Acres,Single Family,"$2,764",1965,Neighborhood: 94920,87 days,"2,277",22
"5 Trestle Glen Cir,","Tiburon, CA 94920","$1,877,000",4.42 Acres,,4.42 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94920,87 days,229,10
"220 Martinique Ave,","Tiburon, CA 94920","$2,399,000",4,3,"2,488","7,405 sqft",Single Family,$964,1964,Neighborhood: 94920,86 days,"1,686",27
"4709 Paradise Dr,","Tiburon, CA 94920","$5,865,000",4,5,"6,110",1.27 Acres,Single Family,$960,1947,Neighborhood: 94920,82 days,"2,243",33
"15 Corinthian Ct APT 11,","Belvedere, CA 94920","$1,199,000",2,2,"1,209",$872/mo,Condo,$992,1962,Neighborhood: 94920,79 days,"1,544",12
"162 Trinidad Dr,","Tiburon, CA 94920","$2,188,000",4,3,"2,350",0.26 Acres,Single Family,$931,1963,Neighborhood: 94920,79 days,"1,777",32
"5 Eden Ln,","Tiburon, CA 94920","$2,460,000",3,3,"2,052",0.32 Acres,Single Family,"$1,199",1952,Neighborhood: 94920,75 days,"2,504",62
"1865 Centro West St,","Tiburon, CA 94920","$13,900,000",5,6,"6,960",0.58 Acres,Single Family,"$1,997",2016,Neighborhood: 94920,71 days,"6,188",231
"2088 Paradise Dr,","Tiburon, CA 94920","$1,800,000",2,2,"1,100",0.25 Acres,Single Family,"$1,636",1939,Neighborhood: 94920,69 days,"4,334",68
"2485 Mar East St LOT A & B,","Belvedere Tiburon, CA 94920","$3,250,000",5,5,"3,292",0 spaces,Multiple Occupancy,$987,1973,Neighborhood: 94920,66 days,580,12
"230 Madrona Ave,","Belvedere, CA 94920","$3,800,000",3,3,"3,225","6,969 sqft",Single Family,"$1,178",1927,Neighborhood: 94920,65 days,"2,013",51
"303 Belvedere Ave,","Belvedere, CA 94920","$4,717,000",4,4,"3,715",0.32 Acres,Single Family,"$1,270",1964,Neighborhood: 94920,64 days,"3,197",50
"2485 Mar East St,","Belvedere Tiburon, CA 94920","$3,250,000",5,4,"3,292","8,276 sqft",Single Family,$987,1973,Neighborhood: 94920,63 days,"1,312",24
"158 Blackfield Dr,","Tiburon, CA 94920","$2,225,000",4,3,"1,875","7,405 sqft",Single Family,"$1,187",1953,Neighborhood: 94920,56 days,"2,543",49
"1751 Mar West St,","Tiburon, CA 94920","$1,825,000",3,3,"1,465","3,484 sqft",Single Family,"$1,246",1902,Neighborhood: 94920,52 days,"2,486",46
"60 Trinidad Dr,","Tiburon, CA 94920","$6,500,000",4,5,"6,050",0.54 Acres,Single Family,"$1,074",1989,Neighborhood: 94920,50 days,"1,959",51
"230 Diviso St,","Belvedere Tiburon, CA 94920","$3,770,000",4,4,"2,963","8,276 sqft",Single Family,"$1,272",1940,Neighborhood: 94920,49 days,"1,110",8
"10 Alcatraz Ave,","Belvedere Tiburon, CA 94920","$2,650,000",4,4,"2,171","7,840 sqft",Single Family,"$1,221",1962,Neighborhood: 94920,49 days,"3,053",26
"2200 Mar East St,","Belvedere Tiburon, CA 94920","$6,999,000",6,7,"4,948","2,613 sqft",Single Family,"$1,415",1968,Neighborhood: 94920,47 days,"3,854",79
"10 Pine Ter,","Belvedere Tiburon, CA 94920","$1,597,000",3,2,"1,352","4,791 sqft",Single Family,"$1,181",1962,Neighborhood: 94920,45 days,"4,406",94
"135 Belvedere Ave,","Belvedere, CA 94920","$9,995,000",6,8,"11,096",1.22 Acres,Single Family,$901,No Data,Neighborhood: 94920,38 days,"6,034",188
"35 Vista Tiburon Dr,","Tiburon, CA 94920","$3,395,000",4,4,"4,625",0.59 Acres,Single Family,$734,1997,Neighborhood: 94920,38 days,"1,720",30
"33 Lagoon Vis,","Belvedere Tiburon, CA 94920","$1,399,000",2,2,"1,357","$1,192/mo",Condo,"$1,031",1985,Neighborhood: 94920,37 days,"2,457",26
"45 Harbor Oak Dr APT 25,","Belvedere Tiburon, CA 94920","$850,000",1,1,840,$643/mo,Condo,"$1,012",1966,Neighborhood: 94920,36 days,"1,983",18
"10 Indian Rock Ct,","Tiburon, CA 94920","$3,195,000",4,3,"3,221",0.72 Acres,Single Family,$992,1987,Neighborhood: 94920,32 days,"2,717",28
,"Belvedere Tiburon, CA 94920","$2,100,000",4,2,"1,771","7,840 sqft",Single Family,"$1,186",1954,Neighborhood: 94920,27 days,"1,440",19
"2495 Mar East St,","Belvedere Tiburon, CA 94920","$1,550,000",3,3,--,0 spaces,Single Family,"8,276 sqft",No Data,Neighborhood: 94920,18 days,"5,704",136
"19 Belvedere Ave,","Belvedere, CA 94920","$4,395,000",2,3,"2,456","10,454 sqft",Single Family,"$1,789",1956,Neighborhood: 94920,15 days,"3,835",193
"160 Solano St,","Belvedere Tiburon, CA 94920","$2,517,000",3,2,"1,671","4,356 sqft",Single Family,"$1,506",1916,Neighborhood: 94920,13 days,"1,563",42
"4810 Paradise Dr,","Belvedere Tiburon, CA 94920","$1,696,000",3,3,"1,789",0.34 Acres,Single Family,$948,1953,Neighborhood: 94920,12 days,"3,868",173
"25 Mark Ter,","Tiburon, CA 94920","$4,150,000",5,4,"4,121",0.48 Acres,Single Family,"$1,007",1964,Neighborhood: 94920,9 days,"2,025",55
"18 Greenbrae Boardwalk,","Greenbrae, CA 94904","$999,000",--,2,"3,000",0.42 Acres,Single Family,$333,1940,Neighborhood: 94904,218 days,"1,190",19
"290 Via Casitas APT 306,","Kentfield, CA 94904","$699,000",3,2,"1,350",$684/mo,Condo,$518,1962,Neighborhood: 94904,184 days,"1,630",20
"827 Sir Francis Drake Blvd,","Kentfield, CA 94904","$995,000",3,2,"1,255","6,534 sqft",Single Family,$793,1962,Neighborhood: 94904,111 days,"4,074",56
"216 Evergreen Dr,","Kentfield, CA 94904","$4,995,000",6,7,"5,530",4.32 Acres,Single Family,$903,1988,Neighborhood: 94904,89 days,"1,977",47
"320 Via Casitas APT 110,","Greenbrae, CA 94904","$559,000",2,2,"1,071",$541/mo,Condo,$522,1962,Neighborhood: 94904,82 days,"2,603",63
"495 S Eliseo Dr APT 5,","Kentfield, CA 94904","$749,000",1,1,825,$450/mo,Condo,$908,1973,Neighborhood: 94904,81 days,"1,068",14
"256 Via La Cumbre,","Greenbrae, CA 94904","$1,230,000",3,2,"1,661","6,969 sqft",Single Family,$741,1958,Neighborhood: 94904,81 days,"1,896",53
"375 Crown Rd,","Kentfield, CA 94904","$1,995,000",3,3,"3,194",1.11 Acres,Single Family,$625,1965,Neighborhood: 94904,74 days,"2,252",34
"22 Rock Rd,","Kentfield, CA 94904","$1,895,000",0.51 Acres,,0.51 Acres,$22/mo,Vacant Land,"$1,198",1947,Neighborhood: 94904,72 days,968,7
,"Kentfield, CA 94904","$25,000,000",140 Acres,,140 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94904,71 days,200,4
,"Greenbrae, CA 94904","$25,000,000",140 Acres,,140 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94904,65 days,471,8
"2130 Redwood Hwy SPACE G5,","Greenbrae, CA 94904","$272,000",2,2,720,0 spaces,Mobile / Manufactured,$378,1977,Neighborhood: 94904,47 days,"3,015",121
"2130 Redwood Hwy SPACE D15,","Greenbrae, CA 94904","$340,000",3,2,"1,650",0 spaces,Mobile / Manufactured,$206,2001,Neighborhood: 94904,14 days,"1,378",38
"11 Phoenix Rd,","Kentfield, CA 94904","$2,595,000",3,3,"2,680",0.48 Acres,Single Family,$968,1960,Neighborhood: 94904,12 days,"1,586",25
"905 Via Casitas,","Kentfield, CA 94904","$685,000",3,2,"1,179",$400/mo,Condo,$581,1974,Neighborhood: 94904,3 days,559,12
"58 Greenbrae Boardwalk,","Kentfield, CA 94904","$1,350,000",3,2,"2,153",0.87 Acres,Single Family,$627,1980,Neighborhood: 94904,3 days,780,20
"100 Thorndale Dr APT 346,","San Rafael, CA 94903","$480,000",2,2,"1,150","$4,922/mo",Condo,$417,1985,Neighborhood: Terra Linda,87 days,451,5
"0 Upper Rd,","San Rafael, CA 94903","$350,000",1.01 Acres,,1.01 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Santa Venetia,85 days,901,23
"1040 Los Gamos Rd APT F,","San Rafael, CA 94903","$449,000",3,2,"1,200","$1,187/mo",Condo,$374,1960,Neighborhood: North San Rafael Commercial Center,82 days,"1,053",18
"100 Deer Valley Rd APT GA,","San Rafael, CA 94903","$770,000",2,2,"1,261","$3,533/mo",Condo,$611,1990,Neighborhood: Smith Ranch,78 days,164,0
"100 Thorndale Dr APT 448,","San Rafael, CA 94903","$480,000",2,2,"1,120","$4,500/mo",Condo,$429,1985,Neighborhood: Terra Linda,71 days,336,3
"715 Del Ganado Rd,","San Rafael, CA 94903","$1,549,000",4,2,"1,696","6,500 sqft",Single Family,$913,1955,Neighborhood: Terra Linda,71 days,"2,193",53
"139 La Perdiz Ct,","San Rafael, CA 94903","$820,000",3,2,"1,889",$705/mo,Condo,$434,1977,Neighborhood: Terra Linda,68 days,889,31
"100 Thorndale Rd #407,","San Rafael, CA 94903","$1,195,000",3,2,"1,630","$5,725/mo",Condo,$733,1985,Neighborhood: Terra Linda,62 days,406,2
"1501 Lucas Valley Rd,","San Rafael, CA 94903","$6,200,000",2,2,"1,982",61.34 Acres,Single Family,"$3,128",1960,Neighborhood: Lucas Valley,51 days,"1,037",17
"300 Deer Valley Rd APT 4C,","San Rafael, CA 94903","$599,000",1,2,948,"$3,232/mo",Condo,$632,1990,Neighborhood: Smith Ranch,51 days,176,1
"178 Devon Dr,","San Rafael, CA 94903","$1,097,500",3,2,"1,526","7,840 sqft",Single Family,$719,1961,Neighborhood: Terra Linda,44 days,"2,849",41
"400 Deer Valley Rd APT 4L,","San Rafael, CA 94903","$535,000",1,2,948,"$3,232/mo",Condo,$564,1990,Neighborhood: Smith Ranch,44 days,176,1
"892 Greenberry Ln,","San Rafael, CA 94903","$975,000",3,2,"1,385","7,405 sqft",Single Family,$704,1958,Neighborhood: Marinwood,43 days,"3,654",98
"625 Idylberry Rd,","San Rafael, CA 94903","$1,699,000",4,2,"1,747","7,405 sqft",Single Family,$973,1957,Neighborhood: Marinwood,40 days,"3,230",111
"301 North Ave UNIT 107,","San Rafael, CA 94903","$599,000",2,2,954,$480/mo,Condo,$628,2005,Neighborhood: Smith Ranch,40 days,521,11
"301 North Ave,","San Rafael, CA 94903","$599,000",2,2,954,871 sqft,Single Family,$628,2005,Neighborhood: Smith Ranch,40 days,"4,956",41
"46 Grande Paseo,","San Rafael, CA 94903","$688,000",4,3,"1,707",$550/mo,Condo,$403,1966,Neighborhood: Marinwood,38 days,"1,909",46
"400 Deer Valley Rd APT 3B,","San Rafael, CA 94903","$585,000",1,2,948,"$3,232/mo",Condo,$617,1990,Neighborhood: Smith Ranch,32 days,138,0
"45 Forest Ln,","San Rafael, CA 94903","$535,000",2,2,984,$577/mo,Condo,$544,1963,Neighborhood: Terra Linda,29 days,"2,468",64
"768 Montecillo Rd,","San Rafael, CA 94903","$1,595,000",3,2,"1,870","7,405 sqft",Single Family,$853,1956,Neighborhood: Terra Linda,28 days,"3,449",153
"44 Waterside Cir,","San Rafael, CA 94903","$1,245,000",5,3,"2,921","5,227 sqft",Single Family,$426,1990,Neighborhood: Civic Center,26 days,"3,509",106
"65 Vista Marin Dr,","San Rafael, CA 94903","$1,212,500",4,3,"2,402","5,662 sqft",Single Family,$505,1999,Neighborhood: Civic Center,25 days,"3,090",79
"200 Emerystone Ter,","San Rafael, CA 94903","$1,300,000",4,2,"1,674","8,276 sqft",Single Family,$777,1955,Neighborhood: Marinwood,25 days,"4,380",135
"785 Del Ganado Rd,","San Rafael, CA 94903","$1,000,000",3,2,"1,512","6,534 sqft",Single Family,$661,1955,Neighborhood: Terra Linda,24 days,"5,048",214
"585 Whitewood Dr,","San Rafael, CA 94903","$1,100,000",3,2,"1,250","7,405 sqft",Single Family,$880,1954,Neighborhood: Terra Linda,21 days,"3,751",188
"276 Carlsbad Ct,","San Rafael, CA 94903","$369,900",3,2,"1,307",Carport,Mobile / Manufactured,$283,2006,Neighborhood: Smith Ranch,20 days,"2,734",43
"100 Thorndale Dr APT 425,","San Rafael, CA 94903","$474,900",2,2,"1,120","$4,500/mo",Condo,$424,1985,Neighborhood: Terra Linda,19 days,927,9
"179 Los Ranchitos Rd,","San Rafael, CA 94903","$2,500,000",15,9,"5,582",0.88 Acres,Single Family,$448,1948,Neighborhood: Rafael Meadows/Los Ranchitos,18 days,"1,167",14
"296 Yosemite Rd,","San Rafael, CA 94903","$199,000",3,2,"1,050","Carport, Covered",Mobile / Manufactured,$190,1975,Neighborhood: Smith Ranch,16 days,"2,471",47
"71 Vista Marin Dr,","San Rafael, CA 94903","$1,199,000",4,3,"2,402","4,791 sqft",Single Family,$499,1999,Neighborhood: Civic Center,16 days,"2,580",78
"64 Roundtree Blvd,","San Rafael, CA 94903","$459,000",2,1,914,$475/mo,Condo,$502,1970,Neighborhood: Marinwood,15 days,"2,313",72
"4140 Redwood Hwy,","San Rafael, CA 94903","$3,750,000",3,--,"12,076",0 spaces,Multiple Occupancy,$311,1964,Neighborhood: North San Rafael Commercial Center,12 days,404,6
"8 Garden Ave,","San Rafael, CA 94903","$1,449,000",4,3,"2,081","Garage, Garage - Detached, Covered",Multiple Occupancy,$696,1956,Neighborhood: Civic Center,10 days,"2,423",66
"72 Yosemite Rd,","San Rafael, CA 94903","$249,000",3,2,960,0 spaces,Mobile / Manufactured,$259,1999,Neighborhood: Smith Ranch,9 days,"1,026",27
"147 Waterside Cir,","San Rafael, CA 94903","$1,295,000",4,3,"2,745","5,227 sqft",Single Family,$472,1990,Neighborhood: Civic Center,7 days,"1,964",92
"111 Bryce Canyon Rd,","San Rafael, CA 94903","$269,000",3,2,"1,296",0 spaces,Mobile / Manufactured,$208,2012,Neighborhood: Smith Ranch,4 days,851,25
"564 Montecillo Rd,","San Rafael, CA 94903","$999,000",3,2,"1,803","9,147 sqft",Single Family,$554,1959,Neighborhood: Terra Linda,3 days,"1,406",33
"89 Yosemite Rd,","San Rafael, CA 94903","$200,000",2,2,"1,152",0 spaces,Mobile / Manufactured,$174,1975,Neighborhood: Smith Ranch,3 days,319,4
"301 North Ave UNIT 206,","San Rafael, CA 94903","$629,000",2,2,954,$480/mo,Condo,$659,2005,Neighborhood: Smith Ranch,3 days,266,8
"88 Grande Paseo,","San Rafael, CA 94903","$714,000",4,3,"1,554",$550/mo,Condo,$459,1966,Neighborhood: Marinwood,2 days,"1,208",54
,"San Rafael, CA 94901","$5,000,000",7,7,"8,855",0.63 Acres,Single Family,$565,1910,Neighborhood: Fairhills,71 days,"1,386",15
"19 Sonoma St APT B,","San Rafael, CA 94901","$289,000",1,1,842,$473/mo,Condo,$343,1963,Neighborhood: Canal,69 days,817,11
"158 Park St #166,","San Rafael, CA 94901","$2,100,000",6,--,"3,514",0 spaces,Multiple Occupancy,$598,1905,Neighborhood: Montecito/Happy Valley,68 days,309,2
"116 Clark St,","San Rafael, CA 94901","$1,350,000",7,5,"3,840","Garage, Off-street, Covered",Multiple Occupancy,$352,1930,Neighborhood: Gerstle Park,68 days,"1,669",17
"29 Mariposa Rd,","San Rafael, CA 94901","$1,075,000",5,3,"2,076","4,791 sqft",Single Family,$518,1921,Neighborhood: Picnic Valley,66 days,"2,853",72
"175 Valley View Ave,","San Rafael, CA 94901","$2,495,000",6,4,"4,725",2.64 Acres,Single Family,$528,1989,Neighborhood: Fairhills,66 days,"1,143",34
"123 Knollwood Dr,","San Rafael, CA 94901","$1,070,000",3,2,"1,890",$463/mo,Condo,$566,2012,Neighborhood: Peacock Gap,66 days,940,13
,"San Rafael, CA 94901","$1,595,000",4,4,"2,801","4,791 sqft",Single Family,$569,1915,Neighborhood: Gerstle Park,65 days,556,6
"1214 Lincoln Ave,","San Rafael, CA 94901","$1,045,000",3,2,"2,293","6,969 sqft",Single Family,$456,1907,Neighborhood: Lincoln/San Rafael Hill,61 days,"2,325",129
"111 Orange St,","San Rafael, CA 94901","$1,050,000",3,3,"1,872",0.39 Acres,Single Family,$561,1973,Neighborhood: California Park,59 days,"2,297",42
"157 Woodland Ave UNIT 3,","San Rafael, CA 94901","$805,000",3,3,"1,761",$360/mo,Condo,$457,2001,Neighborhood: Picnic Valley,58 days,"2,109",63
"35 Estates Ct,","San Rafael, CA 94901","$1,495,000",4,3,"2,435",0.37 Acres,Single Family,$614,1973,Neighborhood: 94901,58 days,"4,588",148
"94 Deer Park Ave,","San Rafael, CA 94901","$2,695,000",4,5,"4,392",1.35 Acres,Single Family,$614,1947,Neighborhood: Country Club,57 days,"2,604",97
"376 Margarita Dr,","San Rafael, CA 94901","$2,695,000",5,4,"5,220",2 Acres,Single Family,$516,1989,Neighborhood: Country Club,56 days,"1,338",29
"50 Sonoma St APT 19,","San Rafael, CA 94901","$359,750",2,2,966,$491/mo,Condo,$372,1962,Neighborhood: Canal,55 days,"1,348",6
"238 Tiburon Blvd,","San Rafael, CA 94901","$1,595,000",4,4,"2,168","10,018 sqft",Single Family,$736,1998,Neighborhood: California Park,53 days,"2,335",44
"116 Blossom Ct,","San Rafael, CA 94901","$999,999",3,2,"1,876",0.33 Acres,Single Family,$533,1962,Neighborhood: California Park,53 days,"2,067",29
"347 Bahia Ln,","San Rafael, CA 94901","$389,000",2,1,840,$436/mo,Condo,$463,1973,Neighborhood: Canal,52 days,792,5
"1504 Lincoln Ave,","San Rafael, CA 94901","$829,000",2,2,--,0 spaces,Single Family,"4,356 sqft",No Data,Neighborhood: Lincoln/San Rafael Hill,51 days,"3,513",86
"17 Peacock Ct,","San Rafael, CA 94901","$949,000",2,2,"1,346",$426/mo,Condo,$705,1989,Neighborhood: Peacock Gap,45 days,"1,778",37
"122 Tiburon Blvd,","San Rafael, CA 94901","$515,000",2,2,"1,280",$581/mo,Condo,$402,1979,Neighborhood: California Park,43 days,"7,756",303
"94 Fair Dr,","San Rafael, CA 94901","$1,385,000",3,4,"2,275","6,098 sqft",Single Family,$609,2020,Neighborhood: Lincoln/San Rafael Hill,38 days,"2,133",74
"19 Briarwood Dr,","San Rafael, CA 94901","$1,350,000",3,2,"1,652","8,712 sqft",Single Family,$817,1963,Neighborhood: Glenwood,31 days,"3,118",69
"1350 Lincoln Ave,","San Rafael, CA 94901","$8,250,000",22,--,"19,458","Carport, Covered",Multiple Occupancy,$424,1962,Neighborhood: Lincoln/San Rafael Hill,29 days,535,11
"137 Knollwood Dr,","San Rafael, CA 94901","$975,000",3,2,"1,865",$463/mo,Condo,$523,1974,Neighborhood: Peacock Gap,27 days,"1,253",16
"20 Green Way,","San Rafael, CA 94901","$5,650,000",16,--,"11,798","Off-street, Covered",Multiple Occupancy,$479,1958,Neighborhood: Montecito/Happy Valley,26 days,547,12
